mission_time,target_altitude,current_altitude,error,velocity_cmd,control_action,height_sonar,height_baro,velocity_z_measured,battery
8.257139682769775,1.5,1.54,-0.040000000000000036,0.0,HOLD,1.54,-39.27,0.06,99
8.302788734436035,1.5,1.54,-0.040000000000000036,0.0,HOLD,1.54,-39.27,0.06,99
8.356739282608032,1.5,1.54,-0.040000000000000036,0.0,HOLD,1.54,-39.27,0.06,99
8.400165557861328,1.5,1.47,0.030000000000000027,0.0,HOLD,1.47,-39.37,0.07,99
8.453378200531006,1.5,1.47,0.030000000000000027,0.0,HOLD,1.47,-39.37,0.07,99
8.506211757659912,1.5,1.4,0.10000000000000009,1.0,CLIMB,1.4,-39.38,0.07,99
8.559385061264038,1.5,1.4,0.10000000000000009,1.0,CLIMB,1.4,-39.38,0.07,99
8.60128664970398,1.5,1.35,0.1499999999999999,1.0,CLIMB,1.35,-39.35,0.05,99
8.654530763626099,1.5,1.35,0.1499999999999999,1.0,CLIMB,1.35,-39.35,0.05,99
8.708014965057373,1.5,1.32,0.17999999999999994,1.0,CLIMB,1.32,-39.35,0.03,99
8.751412153244019,1.5,1.32,0.17999999999999994,1.0,CLIMB,1.32,-39.35,0.03,99
8.804602861404419,1.5,1.32,0.17999999999999994,1.0,CLIMB,1.32,-39.39,0.01,99
8.858251094818115,1.5,1.32,0.17999999999999994,1.0,CLIMB,1.32,-39.39,0.01,99
8.900874614715576,1.5,1.33,0.16999999999999993,1.0,CLIMB,1.33,-39.41,-0.01,99
8.953707456588745,1.5,1.33,0.16999999999999993,1.0,CLIMB,1.33,-39.41,-0.01,99
9.007293701171875,1.5,1.38,0.1200000000000001,1.0,CLIMB,1.38,-39.42,-0.04,99
9.05034875869751,1.5,1.38,0.1200000000000001,1.0,CLIMB,1.38,-39.42,-0.04,99
9.10447907447815,1.5,1.45,0.050000000000000044,0.0,HOLD,1.45,-39.32,-0.06,99
9.157670259475708,1.5,1.45,0.050000000000000044,0.0,HOLD,1.45,-39.32,-0.06,99
9.200881242752075,1.5,1.53,-0.030000000000000027,0.0,HOLD,1.53,-39.09,-0.07,99
9.253452062606812,1.5,1.53,-0.030000000000000027,0.0,HOLD,1.53,-39.09,-0.07,99
9.307130813598633,1.5,1.63,-0.1299999999999999,-0.8,DESCEND,1.63,-39.14,-0.08,99
9.351826667785645,1.5,1.63,-0.1299999999999999,-0.8,DESCEND,1.63,-39.14,-0.08,99
9.40529179573059,1.5,1.69,-0.18999999999999995,-0.8,DESCEND,1.69,-39.09,-0.08,99
9.45804476737976,1.5,1.69,-0.18999999999999995,-0.8,DESCEND,1.69,-39.09,-0.08,99
9.500460624694824,1.5,1.76,-0.26,-0.8,DESCEND,1.76,-39.07,-0.07,99
9.554354190826416,1.5,1.76,-0.26,-0.8,DESCEND,1.76,-39.07,-0.07,99
9.60749864578247,1.5,1.79,-0.29000000000000004,-0.8,DESCEND,1.79,-39.0,-0.04,98
9.651764154434204,1.5,1.79,-0.29000000000000004,-0.8,DESCEND,1.79,-39.0,-0.04,98
9.706622838973999,1.5,1.8,-0.30000000000000004,-0.8,DESCEND,1.8,-39.01,-0.01,98
9.759836196899414,1.5,1.8,-0.30000000000000004,-0.8,DESCEND,1.8,-39.01,-0.01,98
9.80188512802124,1.5,1.77,-0.27,-0.8,DESCEND,1.77,-39.04,0.01,98
9.854846239089966,1.5,1.77,-0.27,-0.8,DESCEND,1.77,-39.04,0.01,98
9.909299850463867,1.5,1.74,-0.24,-0.8,DESCEND,1.74,-38.99,0.03,98
9.952475786209106,1.5,1.74,-0.24,-0.8,DESCEND,1.74,-38.99,0.03,98
10.00569200515747,1.5,1.69,-0.18999999999999995,-0.8,DESCEND,1.69,-38.97,0.05,98
10.059423923492432,1.5,1.69,-0.18999999999999995,-0.8,DESCEND,1.69,-38.97,0.05,98
10.102050304412842,1.5,1.62,-0.1200000000000001,-0.8,DESCEND,1.62,-39.18,0.06,98
10.155800342559814,1.5,1.55,-0.050000000000000044,0.0,HOLD,1.55,-39.21,0.06,98
10.208630561828613,1.5,1.55,-0.050000000000000044,0.0,HOLD,1.55,-39.21,0.06,98
10.251869916915894,1.5,1.48,0.020000000000000018,0.0,HOLD,1.48,-39.2,0.07,98
10.305338621139526,1.5,1.48,0.020000000000000018,0.0,HOLD,1.48,-39.2,0.07,98
