test_distance,sample_num,detected,x_tag,y_tag,z_tag,altitude,battery
2.0,29,1,0.21143339231323827,-0.379138554112491,2.002742725537526,0.79,46
2.0,30,1,0.2044756452927021,-0.3732302986166847,2.001948506478643,0.8,46
2.0,31,1,0.1998077463699064,-0.3691809549798691,2.0103052270987583,0.81,46
2.0,32,1,0.18711101755754914,-0.35682138471640484,2.0218233891543282,0.81,46
2.0,33,1,0.17350935716918642,-0.3476301647532406,2.031747242162154,0.82,46
2.0,34,1,0.16555543844929757,-0.34578568611179417,2.038920178571811,0.83,46
2.0,35,1,0.15905119682239965,-0.3445535897201211,2.042499395806501,0.83,46
2.0,36,1,0.15408835070266272,-0.34738207646051683,2.067743792401831,0.83,45
2.0,37,1,0.14911291839690663,-0.34382698527234146,2.0586671259647136,0.83,45
2.0,38,1,0.1451287485125854,-0.34568258641223887,2.0667363549192066,0.83,45
2.0,39,1,0.14508344460304837,-0.34861165325355875,2.078580799281063,0.83,45
2.0,40,1,0.14539838374991024,-0.3491456165447647,2.0670221490965535,0.83,45
2.0,41,1,0.151846505142723,-0.3545416275891021,2.0725599102888617,0.83,45
2.0,42,1,0.1599774709124057,-0.355237579067328,2.0647052409434115,0.82,45
2.0,43,1,0.17014857826378857,-0.3581647965721457,2.058769689122402,0.82,45
2.0,44,1,0.18312875193646083,-0.3621316596234053,2.045483362070213,0.81,45
2.0,45,1,0.19230417979421038,-0.3665455043183121,2.051126975816358,0.81,45
2.0,46,1,0.19891571249713239,-0.36884306733191274,2.0497204568166385,0.81,45
2.0,47,1,0.20450936107883733,-0.3701304333684326,2.0462471149243173,0.81,45
2.0,48,1,0.20755039031837338,-0.3716455137828285,2.0497079107338005,0.81,45
2.0,49,1,0.20897087350734192,-0.3708673878706386,2.0458133005265684,0.81,45
2.0,50,1,0.21129054312972415,-0.3715317756263432,2.0544394154508665,0.81,45
2.0,51,1,0.21209908685149717,-0.36987123188011306,2.0546061641108646,0.81,45
2.0,52,1,0.21321917663991694,-0.3679592054364993,2.05684197756293,0.81,45
2.0,53,1,0.2149767948520421,-0.36692083258129804,2.0596652161899893,0.81,45
2.0,54,1,0.21691650121437167,-0.3652936287176836,2.0624442757644554,0.81,45
2.0,55,1,0.217860298094689,-0.36262439789356327,2.0645787289776294,0.82,45
2.0,56,1,0.21646030314637696,-0.3584966296852805,2.0592070636447426,0.82,45
2.0,57,1,0.2162951002990027,-0.3568169451159262,2.0684612837067027,0.82,45
2.0,58,1,0.21232706350346453,-0.35046610860422334,2.061037928058587,0.82,45
2.0,59,1,0.2104594533214968,-0.34766663909599366,2.067830052301722,0.83,45
2.0,60,1,0.20913661855135549,-0.34508460169914984,2.0752017414930064,0.83,45
2.0,61,1,0.20750302133927093,-0.341193750013886,2.071766206724562,0.83,45
2.0,62,1,0.20707134323893311,-0.34072433463075236,2.0768938618281463,0.83,45
2.0,63,1,0.20706722793404278,-0.3404454003891726,2.074318318226568,0.83,45
2.0,64,1,0.2094019490298015,-0.3408419135215729,2.078810068535909,0.83,45
2.0,65,1,0.21227912315480477,-0.34019596892703874,2.0766199860144385,0.83,45
2.0,66,1,0.21610449586777813,-0.3400151210718575,2.0752174645645494,0.83,45
2.0,67,1,0.2203594624924229,-0.33995592823535553,2.0742433233898585,0.84,45
2.0,68,1,0.22775217676983106,-0.34005330682026585,2.071210375269665,0.83,45
2.0,69,1,0.23515712697271707,-0.3398642011456018,2.075746727897039,0.83,45
2.0,70,1,0.2422027646028081,-0.3370795646470552,2.063548837930698,0.84,45
2.0,71,1,0.24878311357970334,-0.3367991644609695,2.070886054364889,0.84,45
2.0,72,1,0.2525193719215866,-0.332326902985739,2.065360527994972,0.84,45
2.0,73,1,0.25650763938500926,-0.32962358634275063,2.0648593826349293,0.84,45
2.0,74,1,0.25767057953882255,-0.3285101114135552,2.0616428786425294,0.84,45
2.0,75,1,0.25845303405411096,-0.3309626840311034,2.066033723158694,0.84,45
2.0,76,1,0.2574109913669962,-0.33426349995986465,2.077061546910404,0.84,45
2.0,77,1,0.2544078224076356,-0.33749687138801726,2.0807780803934945,0.83,45
2.0,78,1,0.2476334504514685,-0.34434918646892787,2.0852225154418176,0.83,45
2.0,79,1,0.24400926958517896,-0.350249295491802,2.096346248993731,0.83,45
2.0,80,1,0.23956613212417358,-0.3549083781013669,2.0913265169501645,0.82,45
2.0,81,1,0.23863626695177534,-0.36308235202574085,2.093395413535639,0.81,45
2.0,82,1,0.2404805886703211,-0.36846052457122874,2.09128681081991,0.81,45
2.0,83,1,0.2440622507314178,-0.37449754481732433,2.086913472481141,0.8,45
2.0,84,1,0.25210333799643675,-0.38817479013249717,2.0992751947040644,0.79,45
2.0,85,1,0.25640776793586495,-0.3974284575003366,2.0912347503599866,0.79,45
2.0,86,1,0.25876905000199285,-0.40586618240161076,2.0755597079737607,0.78,45
2.0,87,1,0.2630473100292276,-0.417078566149494,2.075435881989386,0.77,45
2.0,88,1,0.26803088768912003,-0.42799456596176855,2.0685250514045004,0.76,45
2.0,89,1,0.2716198367835689,-0.43182204231848464,2.0479404502797243,0.76,45
2.0,90,1,0.2762255164749074,-0.4352540282944208,2.0427787191653852,0.76,44
