mission_time,target_altitude,current_altitude,error,velocity_cmd,proportional,integral,derivative
7.658837795257568,1.5,1.21,0.29000000000000004,0.12416500000000003,0.08700000000000001,0.03916500000000001,-0.0020000000000000018
7.700849771499634,1.5,1.21,0.29000000000000004,0.12631000000000003,0.08700000000000001,0.03931000000000001,0.0
7.75417423248291,1.5,1.21,0.29000000000000004,0.126455,0.08700000000000001,0.03945500000000001,0.0
7.806903839111328,1.5,1.21,0.29000000000000004,0.12660000000000002,0.08700000000000001,0.03960000000000002,0.0
7.860139846801758,1.5,1.21,0.29000000000000004,0.12674500000000002,0.08700000000000001,0.039745000000000016,0.0
7.9022157192230225,1.5,1.21,0.29000000000000004,0.12689000000000003,0.08700000000000001,0.039890000000000016,0.0
7.9551873207092285,1.5,1.21,0.29000000000000004,0.127035,0.08700000000000001,0.040035000000000015,0.0
8.00764012336731,1.5,1.21,0.29000000000000004,0.12718000000000002,0.08700000000000001,0.040180000000000014,0.0
8.050408840179443,1.5,1.22,0.28,0.12232000000000001,0.084,0.040320000000000016,-0.0020000000000000018
8.103720664978027,1.5,1.22,0.28,0.12446000000000003,0.084,0.040460000000000024,0.0
8.157657623291016,1.5,1.22,0.28,0.12460000000000003,0.084,0.040600000000000025,0.0
8.200761795043945,1.5,1.22,0.28,0.12474000000000003,0.084,0.040740000000000026,0.0
8.25390911102295,1.5,1.22,0.28,0.12488000000000003,0.084,0.04088000000000003,0.0
8.306941270828247,1.5,1.22,0.28,0.12502000000000002,0.084,0.04102000000000003,0.0
8.350667715072632,1.5,1.23,0.27,0.12015500000000003,0.081,0.041155000000000025,-0.0020000000000000018
8.40363073348999,1.5,1.23,0.27,0.12229000000000002,0.081,0.04129000000000002,0.0
8.456462144851685,1.5,1.23,0.27,0.12242500000000002,0.081,0.04142500000000002,0.0
8.509626388549805,1.5,1.23,0.27,0.12256000000000002,0.081,0.041560000000000014,0.0
8.552554607391357,1.5,1.24,0.26,0.11769000000000002,0.078,0.04169000000000001,-0.0020000000000000018
8.605110883712769,1.5,1.24,0.26,0.11982000000000001,0.078,0.04182000000000002,0.0
8.657444477081299,1.5,1.24,0.26,0.11995000000000001,0.078,0.041950000000000015,0.0
8.71010136604309,1.5,1.24,0.26,0.12008000000000002,0.078,0.04208000000000001,0.0
8.752666473388672,1.5,1.24,0.26,0.12021000000000001,0.078,0.04221000000000001,0.0
8.806215524673462,1.5,1.25,0.25,0.11533500000000001,0.075,0.04233500000000001,-0.0020000000000000018
8.858937740325928,1.5,1.25,0.25,0.11746000000000001,0.075,0.04246000000000001,0.0
8.901506900787354,1.5,1.25,0.25,0.11758500000000002,0.075,0.04258500000000002,0.0
8.954265117645264,1.5,1.25,0.25,0.11771000000000001,0.075,0.04271000000000002,0.0
9.007139205932617,1.5,1.26,0.24,0.11283000000000001,0.072,0.042830000000000014,-0.0020000000000000018
9.059804677963257,1.5,1.26,0.24,0.11495,0.072,0.04295000000000001,0.0
9.102227687835693,1.5,1.26,0.24,0.11507,0.072,0.043070000000000004,0.0
9.155382871627808,1.5,1.26,0.24,0.11518999999999999,0.072,0.04319,0.0
9.208171606063843,1.5,1.26,0.24,0.11531,0.072,0.043309999999999994,0.0
9.251165390014648,1.5,1.26,0.24,0.11542999999999998,0.072,0.04342999999999999,0.0
9.304290056228638,1.5,1.27,0.22999999999999998,0.11054499999999998,0.06899999999999999,0.04354499999999999,-0.0020000000000000018
9.356592655181885,1.5,1.27,0.22999999999999998,0.11265999999999998,0.06899999999999999,0.04365999999999999,0.0
9.410122871398926,1.5,1.26,0.24,0.11777999999999998,0.072,0.043779999999999986,0.0020000000000000018
9.452786684036255,1.5,1.26,0.24,0.11589999999999998,0.072,0.04389999999999998,0.0
9.505764961242676,1.5,1.27,0.22999999999999998,0.11101499999999997,0.06899999999999999,0.04401499999999998,-0.0020000000000000018
9.560068130493164,1.5,1.27,0.22999999999999998,0.11312999999999997,0.06899999999999999,0.044129999999999975,0.0
9.602423429489136,1.5,1.27,0.22999999999999998,0.11324499999999996,0.06899999999999999,0.04424499999999997,0.0
9.655105352401733,1.5,1.27,0.22999999999999998,0.11335999999999996,0.06899999999999999,0.044359999999999976,0.0
9.708608150482178,1.5,1.27,0.22999999999999998,0.11347499999999996,0.06899999999999999,0.04447499999999997,0.0
9.751009941101074,1.5,1.27,0.22999999999999998,0.11358999999999997,0.06899999999999999,0.04458999999999997,0.0
9.803829669952393,1.5,1.27,0.22999999999999998,0.11370499999999996,0.06899999999999999,0.04470499999999997,0.0
9.856345415115356,1.5,1.27,0.22999999999999998,0.11381999999999995,0.06899999999999999,0.044819999999999964,0.0
9.909716606140137,1.5,1.28,0.21999999999999997,0.10892999999999996,0.06599999999999999,0.04492999999999997,-0.0020000000000000018
9.952244758605957,1.5,1.28,0.21999999999999997,0.11103999999999996,0.06599999999999999,0.04503999999999997,0.0
10.005743741989136,1.5,1.28,0.21999999999999997,0.11114999999999996,0.06599999999999999,0.04514999999999997,0.0
10.058923244476318,1.5,1.28,0.21999999999999997,0.11125999999999997,0.06599999999999999,0.045259999999999974,0.0
10.102413654327393,1.5,1.28,0.21999999999999997,0.11136999999999997,0.06599999999999999,0.04536999999999997,0.0
10.156154870986938,1.5,1.28,0.21999999999999997,0.11147999999999997,0.06599999999999999,0.04547999999999997,0.0
10.209146499633789,1.5,1.28,0.21999999999999997,0.11158999999999997,0.06599999999999999,0.04558999999999998,0.0
10.252558708190918,1.5,1.28,0.21999999999999997,0.11169999999999997,0.06599999999999999,0.04569999999999998,0.0
10.305887699127197,1.5,1.29,0.20999999999999996,0.10680499999999996,0.06299999999999999,0.04580499999999998,-0.0020000000000000018
10.358896017074585,1.5,1.29,0.20999999999999996,0.10890999999999998,0.06299999999999999,0.045909999999999986,0.0
10.401210069656372,1.5,1.29,0.20999999999999996,0.10901499999999997,0.06299999999999999,0.046014999999999986,0.0
10.454043626785278,1.5,1.29,0.20999999999999996,0.10911999999999998,0.06299999999999999,0.046119999999999994,0.0
10.507137775421143,1.5,1.29,0.20999999999999996,0.10922499999999999,0.06299999999999999,0.046224999999999995,0.0
10.559997320175171,1.5,1.29,0.20999999999999996,0.10932999999999998,0.06299999999999999,0.04633,0.0
10.602112293243408,1.5,1.3,0.19999999999999996,0.10442999999999998,0.059999999999999984,0.04643,-0.0020000000000000018
10.654662609100342,1.5,1.3,0.19999999999999996,0.10652999999999999,0.059999999999999984,0.046529999999999995,0.0
10.70798373222351,1.5,1.3,0.19999999999999996,0.10662999999999997,0.059999999999999984,0.04663,0.0
10.750510215759277,1.5,1.3,0.19999999999999996,0.10672999999999998,0.059999999999999984,0.046729999999999994,0.0
10.803210496902466,1.5,1.3,0.19999999999999996,0.10682999999999998,0.059999999999999984,0.04682999999999999,0.0
10.855002641677856,1.5,1.3,0.19999999999999996,0.10692999999999997,0.059999999999999984,0.046929999999999986,0.0
10.907480001449585,1.5,1.31,0.18999999999999995,0.10202499999999998,0.05699999999999998,0.04702499999999999,-0.0020000000000000018
10.95017147064209,1.5,1.31,0.18999999999999995,0.10411999999999996,0.05699999999999998,0.04711999999999999,0.0
11.003190279006958,1.5,1.31,0.18999999999999995,0.10421499999999997,0.05699999999999998,0.04721499999999999,0.0
11.055830240249634,1.5,1.31,0.18999999999999995,0.10430999999999997,0.05699999999999998,0.04730999999999999,0.0
11.108694314956665,1.5,1.31,0.18999999999999995,0.10440499999999997,0.05699999999999998,0.04740499999999999,0.0
11.151946783065796,1.5,1.32,0.17999999999999994,0.09949499999999997,0.05399999999999998,0.047494999999999996,-0.0020000000000000018
11.20538330078125,1.5,1.32,0.17999999999999994,0.10158499999999998,0.05399999999999998,0.047584999999999995,0.0
11.258196592330933,1.5,1.32,0.17999999999999994,0.10167499999999999,0.05399999999999998,0.047675,0.0
11.300569295883179,1.5,1.32,0.17999999999999994,0.10176499999999998,0.05399999999999998,0.047765,0.0
11.353785514831543,1.5,1.32,0.17999999999999994,0.10185499999999999,0.05399999999999998,0.04785500000000001,0.0
11.406306982040405,1.5,1.32,0.17999999999999994,0.101945,0.05399999999999998,0.047945000000000015,0.0
11.459338188171387,1.5,1.32,0.17999999999999994,0.10203499999999999,0.05399999999999998,0.048035000000000015,0.0
11.501526832580566,1.5,1.32,0.17999999999999994,0.102125,0.05399999999999998,0.04812500000000002,0.0
11.556425094604492,1.5,1.33,0.16999999999999993,0.09720999999999999,0.050999999999999976,0.04821000000000002,-0.0020000000000000018
11.609476327896118,1.5,1.33,0.16999999999999993,0.099295,0.050999999999999976,0.04829500000000001,0.0
11.652074098587036,1.5,1.33,0.16999999999999993,0.09938,0.050999999999999976,0.04838000000000001,0.0
11.704854011535645,1.5,1.33,0.16999999999999993,0.09946499999999998,0.050999999999999976,0.04846500000000001,0.0
11.757724285125732,1.5,1.33,0.16999999999999993,0.09954999999999997,0.050999999999999976,0.04855,0.0
11.80052661895752,1.5,1.34,0.15999999999999992,0.09462999999999998,0.04799999999999997,0.04863000000000001,-0.0020000000000000018
11.854506492614746,1.5,1.34,0.15999999999999992,0.09670999999999998,0.04799999999999997,0.04871,0.0
11.907965660095215,1.5,1.34,0.15999999999999992,0.09678999999999999,0.04799999999999997,0.04879000000000001,0.0
11.950139999389648,1.5,1.34,0.15999999999999992,0.09686999999999998,0.04799999999999997,0.048870000000000004,0.0
12.00248384475708,1.5,1.35,0.1499999999999999,0.09194499999999997,0.04499999999999997,0.04894500000000001,-0.0020000000000000018
12.055946111679077,1.5,1.35,0.1499999999999999,0.09401999999999998,0.04499999999999997,0.04902000000000001,0.0
12.109152555465698,1.5,1.35,0.1499999999999999,0.09409499999999998,0.04499999999999997,0.049095000000000014,0.0
12.151159763336182,1.5,1.35,0.1499999999999999,0.09416999999999999,0.04499999999999997,0.04917000000000002,0.0
